,Title,Opinion,Place,Gender,Age,Country,Date,Label,Lang
1390,muy bueno,la verdad no me gustaron para nada las momias pero es interesante ver la descomposicion que antes se daba en los cadaveres de la ciudad paguen el extra para entrar y ver los artefactos de tortura y las cosas sobrenaturales eso fue lo mejor del paseo al museo de las momias,Museo de las Momias,Male,63,Estados Unidos,21/07/2013,1,es
2765,punto central,basilica muy bien conservada punto central en la ciudad  muy linda por dentro vale la pena darse una vuelta para conocer  alto significado religioso y arquitectonico,Basilica Colegiata,Female,64,Colombia,13/05/2018,1,es
3566,excelente vista panoramica,se puede ver toda la ciudad de guanajuato desde ahi y se pueden tomar excelentes fotos panoramicas desde arriba solo se distingue solo una calle lo demas son callejones y no se ven es increible,Monumento Pípila,Female,53,México,27/12/2013,1,es
763,punto turistico por excelencia,este es uno de los lugares que su visita es obligatoria y mas por los atardeceres el unico detalle es que el lugar se encuentra muy descuidado el monumento grafiteado y las balaustradas rotas,Monumento Pípila,Male,28,México,05/09/2016,0,es
3317,museo dentro del cementerio,si no vas al museo no conoces guanajuato sorprendete ver las momias y las historias de cada una de ellas llega lo mas temprano posible en temporada alta sino tendras que hacer una larga fila para comprar los tickets y visitar el museo,Museo de las Momias,Female,42,Guatemala,05/08/2014,1,es
0,no es para recomendarse,las famosas momias de guanajuato el museo en si es horrible y no por lo que exhiben sino como lo exhiben mi abuelo me conto que hace  anos para visitar las momias habia que entrar al panteon pasear entre las tumbas y darle una propina al sepulturero que levantaba una pesada aldaba para despues bajar por una escalera de caracol a la lugubre cripta ahi los cuerpos alineados uno tras otro y a ambos lados de un estrecho pasillo habia que pasar entre ellas sin cristales de por medio suena mas escalofriante pero mucho mas autentico lo debieron haber dejado asi y limitar el numero de personas que las pudieran visitar diariamente quizas unas  y haber cobrado mas pero bueno se ve que el museo es una muy buena fuente de ingresos para el erario de esta bella ciudad recomiendo visitarlo si y solo si ya visitaron todas las demas atracciones y bellezas que ofrece guanajuato si les queda tiempo pues esta bien,Museo de las Momias,Male,48,México,02/07/2013,0,es
2834,distintivo de guanajuato e imperdible visitarlo,nos parecio interesante desde su estructura y en su interior encontramos una gran diversidad de puestos con mucha variedad articulos artesanias recuerdos y comida nos encanto a toda la familia,Mercado Hidalgo,Male,55,México,16/01/2018,1,es
2837,colonial,muy colonial imagenes con tallados sencillos pero hermosos da una sensacion de paz el altar mayor es lo mas relevante,Basilica Colegiata,Female,53,Panamá,12/07/2016,1,es
145,si vas es por ver arte y no precisamente de diego,debes venir a este lugar con la plena conciencia de que las exposiciones ofrecidas seran el  de otros artistas muy buenas tambien pero que quede claro lo unico que veras de diego rivera seran unos bocetos de lapiz o pluma de dos o tres obras que realizo y que la casa fue en la que vivio solo hasta los  anos ni vivio alli con frida ni nada por el estilo es mas bien un museo de arte contemporaneo lo cual no deja de ser atractivo lo que si me parecio en verdad desagradable es la platica que dio un autonombrado mason que como se cree dueno de la verdad se va duro contra todo la iglesia el gobierno los heroes mexicanos la sociedad contra los mismos oyentes de la platica no los baja de ignorantes solo porque dice que estudio uno o dos diplomados de historia ya encontro el hilo negro con un lenguaje menos grosero podria demostrar mas cultura y enfocarse mas en la platica de la vida de diego que me quede esperando eso si al final pide su generosa propina,Casa de Diego Rivera,Male,23,México,19/10/2015,0,es
298,acosadores,la vista no tiene comparacion pero hay muchos ambulantes y esta sucio dan mala imagen tambien hay muchos seudo guias y acosan y molestan en todo momento hostigan para la propina,Monumento Pípila,Male,40,México,28/12/2012,0,es
